PC1,PC2
-3.010084483982293,-0.05437182463211377     # Argentina
-2.011129722368708,-0.22910756452418493     # Brasil
-0.38067040211066955,-0.10225453841713841   # Colombia
0.06275381872118765,0.31669225348005103     # Ecuador
1.1827501840408694,0.17709803984538322      # Paraguay
-0.6260743077890523,0.6481097071100744      # Uruguay
-3.326627973210906,0.3901053976296746       # Alemania
-0.25962774516177256,0.22598294739304883    # Austria
-1.5205437038497898,-0.525943031993867      # Belgica
1.8375010817576796,0.8705271432128626       # Bosnia y Herzegovina
-0.09086663721200863,-0.47266870007934797   # Croacia
1.0152319803940524,0.08460580640386661      # Chequia
1.1979011840624203,0.18919560811193614      # Escocia
-4.637344491356119,0.03551129449880443      # Espana
-4.591606147400868,-0.8123063725229691      # Francia
-4.0701994756702335,-0.7446533658132275     # Inglaterra
-1.0224995969551682,0.5492167643553495      # Noruega
-1.9555886288491948,-0.4883499279480749     # Paises Bajos
-3.7108890425879704,-0.2045775014008595     # Portugal
-0.004063110813599868,0.42916579791370946   # Suecia
-0.1683813059402784,-0.40906493708076813    # Suiza
-0.12734733844534807,0.12389434237000385    # Turkiye
1.6447666992663796,-3.2746177599407003      # Canada
2.153707321757631,0.3565121289975717        # Curazao
0.8386368564237299,-3.6748306932240387      # Estados Unidos
1.8254684660079599,0.20319005668386728      # Haiti
1.5071973535280734,-3.4006100350646062      # Mexico
1.168481996131667,0.38780253861939834       # Panama
1.94796412779192,0.955844428284759          # Arabia Saudita
0.2038022627531072,1.3290257219099206       # Australia
0.40457462985673637,0.7172078982709732      # Corea del Sur
0.46740181502232014,0.798320330404108       # Iran
2.057209137351853,0.6881796841780803        # Irak
-2.0163840815789293,1.5645362069200954      # Japon
2.3929391090753716,0.06903004346325203      # Jordania
2.9991816208065694,0.40639038982446085      # Qatar
1.153122738677138,0.4854742072182978        # Uzbekistan
0.7203695568866161,0.11299975943849161      # Argelia
2.4043210879110455,-0.038804043454410804    # Cabo Verde
-0.7117297799415906,0.1815776594639539      # Costa de Marfil
0.24886468581444662,0.8817916924037316      # Egipto
1.410301338449767,-0.5316190287715835       # Ghana
-1.6221494233283937,0.15420684067306395     # Marruecos
1.6722990839213163,-0.054566547559549095    # Republica Democratica del Congo
-0.994922169833335,-0.11927223588581813     # Senegal
2.1806262093477353,0.060545161954447146     # Sudafrica
1.9696416308255875,-0.14471171887098488     # Tunez
0.19171359180305228,1.8895899761510033      # Nueva Zelanda